epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
185,0.009854776374995709,0.012838544212281705,0.0023721078783273696,0.22494503051042558,38.08444221744554,0.0001,0.5,0.01
186,0.009726610966026783,0.012686095666140318,0.00230493635404855,0.22310950249433517,38.08960211613801,0.0001,0.5,0.01
187,0.009980740612372757,0.0130490449257195,0.0024752418510615827,0.2218597275018692,38.10377770448004,0.0001,0.5,0.01
188,0.009793981341645122,0.01281566608697176,0.002289195238845423,0.22415507525205614,38.11817326996046,0.0001,0.5,0.01
189,0.009306077258661389,0.012079939134418965,0.0021594160539098084,0.21863996744155884,38.11452775458618,0.0001,0.5,0.01
190,0.009916764041408897,0.01307317835278809,0.0023312625708058476,0.22145436972379684,38.07792239510026,0.0001,0.5,0.01
191,0.00987059329636395,0.01299146962352097,0.0023533130111172795,0.21982021242380143,38.111907395885254,0.0001,0.5,0.01
192,0.009539936743676663,0.01252477651461959,0.0021920276223681865,0.21815347105264662,38.09442794724919,0.0001,0.5,0.01
193,0.010048551550135017,0.01318569733761251,0.0023985438607633113,0.22564310133457183,38.10866220112676,0.0001,0.5,0.01
194,0.00972806272096932,0.012597697954624891,0.0023631015024147928,0.2247663113474846,38.107048609995424,0.0001,0.5,0.01
195,0.009950804272666574,0.013134907949715852,0.002345498171634972,0.2210601246356964,38.10629980074761,0.0001,0.5,0.01
196,0.00980823309160769,0.01285006757825613,0.0023359428788535296,0.22152279257774354,38.12659327691989,0.0001,0.5,0.01
197,0.009652974512428046,0.012588833086192608,0.0023082584189251065,0.22044288426637648,38.118803330555906,0.0001,0.5,0.01
198,0.009506140723824502,0.012451583072543144,0.002192772594280541,0.21839629769325256,38.100402858657894,0.0001,0.5,0.01
199,0.00974065468646586,0.012661755569279193,0.00230548809049651,0.22570329636335373,38.03404212989376,0.0001,0.5,0.01
200,0.009993421761319041,0.013120277347043156,0.002421114754397422,0.22227257519960403,38.10708481468614,0.0001,0.5,0.01
201,0.009839291470125317,0.012862456357106566,0.0023951554531231522,0.22104856848716736,38.102401281266715,0.0001,0.5,0.01
202,0.009732985990121961,0.012646013433113694,0.002390527771785855,0.2214715400338173,38.11343399953794,0.0001,0.5,0.01
203,0.009883322129026055,0.01297888783738017,0.002367021143436432,0.2210367751121521,38.09174274856094,0.0001,0.5,0.01
204,0.009848070042207837,0.012892612721771002,0.0023774496978148816,0.22130388468503953,38.091029465629354,0.0001,0.5,0.01
205,0.009673153087496757,0.012673238068819046,0.0023116329964250324,0.2180717557668686,38.099826531818046,0.0001,0.5,0.01
206,0.009933077013120056,0.012805385384708642,0.002452857936732471,0.23039553493261336,38.116134912631594,0.0001,0.5,0.01
207,0.009791085049510002,0.012711397502571345,0.0023902457498479633,0.2240263596177101,38.08709425959928,0.0001,0.5,0.01
208,0.00992792091332376,0.012912462055683136,0.0024544577905908226,0.22444610089063644,38.100310986065196,0.0001,0.5,0.01
209,0.009908375684171916,0.012981333732604981,0.0023834835644811394,0.22259671300649642,38.113937009104866,0.0001,0.5,0.01
210,0.00971246849745512,0.012788110990077256,0.0022732451022602616,0.21817905515432356,38.124650635736984,0.0001,0.5,0.01
211,0.009679769845679403,0.012656742008402944,0.002315955695230514,0.21934209674596786,38.12184600081097,0.0001,0.5,0.01
212,0.009923554128035902,0.013011915367096663,0.0024060455500148235,0.2214573758840561,38.118934758310346,0.0001,0.5,0.01
213,0.009834413547068835,0.012832277715206146,0.002376842088997364,0.22298537224531173,38.12012840287568,0.0001,0.5,0.01
214,0.010027811117470264,0.013259958904236556,0.0023958094418048857,0.2199926996231079,38.10560362794612,0.0001,0.5,0.01
215,0.009782934170216322,0.012860701149329544,0.0023236784944310786,0.21907444119453431,38.11601580285272,0.0001,0.5,0.01
216,0.009446282964199781,0.012239614110440016,0.002252138543408364,0.22004067420959472,38.11085575249558,0.0001,0.5,0.01
217,0.009666420752182603,0.012697380064055323,0.002306825751438737,0.2164317935705185,38.10485846107249,0.0001,0.5,0.01
218,0.010063301790505647,0.013119960110634566,0.0024550364655442536,0.22758035153150558,38.11404503922777,0.0001,0.5,0.01
219,0.010450378181412817,0.013755672425031663,0.00256938316160813,0.22878503918647766,38.09633425596155,0.0001,0.5,0.01
220,0.00957020690664649,0.01254424368031323,0.002258161297068,0.21690044790506363,38.11704785994726,0.0001,0.5,0.01
221,0.00968568810261786,0.01268066031858325,0.0023632714129053056,0.21637223333120345,38.102766572484704,0.0001,0.5,0.01
222,0.00967174923978746,0.012559284996241331,0.0023229220137000084,0.22306457847356798,38.128216324638764,0.0001,0.5,0.01
223,0.010155625119805336,0.013177981860935687,0.0024480314017273487,0.2342618677020073,38.09961963136633,0.0001,0.5,0.01
224,0.009823531936854124,0.01281319017522037,0.0023481293930672107,0.22428720980882644,38.123760777503236,0.0001,0.5,0.01
225,0.009463548325002194,0.012366499919444322,0.0022618723381310703,0.21493622571229934,38.10673274207774,0.0001,0.5,0.01
226,0.009765555206686259,0.012800533743575215,0.002306976753752679,0.22118000388145448,38.117574900670114,0.0001,0.5,0.01
227,0.009590680617839098,0.012639115350320935,0.0022566732903942467,0.2142786356806755,38.096137918430536,0.0001,0.5,0.01
228,0.009882208807393909,0.012954192273318767,0.002397521361708641,0.22063521146774293,38.08163298922115,0.0001,0.5,0.01
229,0.00973110199905932,0.01275692760013044,0.0023204684478696437,0.2192404016852379,38.11591586907946,0.0001,0.5,0.01
230,0.009742936547845603,0.012877516224980354,0.002269269204698503,0.21695439219474794,38.10797755581986,0.0001,0.5,0.01
231,0.009740654453635216,0.012870977083221078,0.002260704964864999,0.21748135149478912,38.13063690492667,0.0001,0.5,0.01
232,0.00921866380609572,0.012058542054146528,0.002123264311812818,0.2127760761976242,38.11016970776411,0.0001,0.5,0.01
